placeQ,placeLabel,location
Q65028899,Palazzo Manieri,Point(13.398504 42.347507)
Q21552323,Palazzo Marchesale,Point(13.648418 42.545521)
Q3890427,Palazzo Margherita,Point(13.398222222 42.351194444)
Q89137340,Palazzo Mezzopreti,Point(14.202144444 42.474352777)
Q65028923,Palazzo Micheletti,Point(13.40022 42.348824)
Q3890528,Palazzo Mosca,Point(13.881049 41.904226)
Q65028950,Palazzo Nardis-Oliva-Vetusti,Point(13.39617 42.34865)
Q65028979,Palazzo Oliva-Cappa di San Nicandro,Point(13.399667 42.353254)
Q3890603,Palazzo Panicali,Point(13.741175 41.689788)
Q21194473,Palazzo Paone,Point(13.401083333 42.353277777)
Q40639782,Palazzo Pascali,Point(13.392083333 42.3545)
Q86671437,Palazzo Perenich,Point(14.214266 42.458545)
Q55165774,Palazzo Persichetti,Point(13.394424 42.349881)
Q3890651,Palazzo Pica Alfieri,Point(13.39775 42.351722222)
Q55162967,Palazzo Piccolomini,Point(13.734871 42.146917)
Q65029014,Palazzo Pietropaoli,Point(13.395354 42.351313)
Q22263761,Palazzo Porcinari,Point(13.396 42.352555555)
Q3890724,Palazzo Quinzi,Point(13.397416666 42.351888888)
Q19631763,Palazzo Ricci,Point(13.301131 42.523807)
Q55165781,Palazzo Rivera,Point(13.394934 42.349616)
Q55165785,Palazzo Romanelli,Point(13.401769 42.347787)
Q65029564,Palazzo Rustici,Point(13.394952 42.34861)
Q65028493,Palazzo Santospago Dragonetti,Point(13.401953 42.348756)
Q23826311,Palazzo Santucci,Point(13.728423 42.23872)
Q3890878,Palazzo Serafini,Point(13.88017 41.903908)
